"","x1","z1","x2","z2","c1","c2"
"1",-38.28,24.5,-19.79,-9.75,"ww","ww"
"2",-19.79,-9.75,12.6,-9.75,"ww","ww"
"3",12.6,-9.75,35.31,-3.83,"ww","ww"
"4",35.31,-3.83,35.31,24.5,"ww","ww"
"5",35.31,24.5,-38.28,24.5,"ww","ww"
"6",12.6,-9.75,23.23,-6.9,"ww","ww"
"7",23.23,-6.9,23.23,12.6,"ww","ww"
"8",23.23,12.6,12.6,12.6,"ww","ww"
"9",12.6,12.6,12.6,-9.75,"ww","ww"
"10",-8.1,12.5,-21.73,12.5,"ww","ww"
"11",-21.73,12.5,-16.1,2.1,"ww","ww"
"12",-16.1,2.1,-8.1,2.1,"ww","ww"
"13",-8.1,2.1,-8.1,12.5,"ww","ww"
"14",-8.1,2.1,-5.9,2.1,"ww","ww"
"15",-5.9,2.1,-5.9,4.96,"ww","ww"
"16",-5.9,4.96,-8.1,4.96,"ww","ww"
"17",-8.1,4.96,-8.1,2.1,"ww","ww"
"18",-8.1,9.65,-5.9,9.65,"ww","ww"
"19",-5.9,9.65,-5.9,12.5,"ww","ww"
"20",-5.9,12.5,-8.1,12.5,"ww","ww"
"21",-8.1,12.5,-8.1,9.65,"ww","ww"
"22",-4.17,2.1,-0.34,2.1,"ww","ww"
"23",-0.34,2.1,-0.3,12.5,"ww","ww"
"24",-0.3,12.5,-4.17,12.5,"ww","ww"
"25",-4.17,12.5,-4.17,2.1,"ww","ww"
"26",-8.25,-4.79,-5.6,-4.79,"ww","ww"
"27",-5.6,-4.79,-5.6,0.31,"ww","ww"
"28",-5.6,0.31,-7.1,0.32,"ww","wd"
"30",-8.1,0.32,-8.25,0.32,"hw","ww"
"31",-8.25,0.32,-8.25,-4.79,"ww","ww"
"32",-8.36,-4.79,-8.36,0.32,"ww","ww"
"33",-8.36,0.32,-8.67,0.32,"ww","wh"
"35",-9.46,0.32,-16.06,0.32,"dw","ww"
"36",-16.06,0.32,-20.56,-1.99,"ww","ww"
"37",-20.56,-1.99,-18.98,-4.79,"ww","ww"
"38",-18.98,-4.79,-8.36,-4.79,"ww","ww"
"39",-20.62,-1.87,-17.05,-0.06,"ww","ww"
"40",-17.05,-0.06,-17.38,0.53,"ww","wh"
"42",-17.87,1.42,-19.15,3.83,"dw","ww"
"43",-19.15,3.83,-22.69,1.94,"ww","ww"
"44",-22.69,1.94,-20.62,-1.87,"ww","ww"
"45",-22.76,2.1,-19.21,3.97,"ww","ww"
"46",-19.21,3.97,-20.76,6.81,"ww","wd"
"48",-21.27,7.7,-21.33,7.84,"hw","ww"
"49",-21.33,7.84,-24.88,5.96,"ww","ww"
"50",-24.88,5.96,-22.76,2.1,"ww","ww"
"51",-21.38,7.96,-24.28,13.37,"ww","wd"
"53",-24.75,14.24,-24.89,14.49,"hw","ww"
"54",-24.89,14.49,-28.45,12.65,"ww","ww"
"55",-28.45,12.65,-24.93,6.11,"ww","ww"
"56",-24.93,6.11,-21.38,7.96,"ww","ww"
"57",-16.71,12.49,-16.71,15.05,"ww","ww"
"58",-16.71,15.05,-16.71,15.05,"ww","wd"
"60",-17.85,15.05,-21.67,15.05,"hw","ww"
"61",-21.67,15.05,-21.67,12.49,"ww","ww"
"62",-21.67,12.49,-16.71,12.49,"ww","ww"
"63",-12.58,19.77,-12.58,21.68,"ww","ww"
"64",-12.58,21.68,-15.15,21.68,"ww","ww"
"65",-15.15,21.68,-15.16,19.46,"ww","ww"
"66",-15.16,19.46,-15.02,19.46,"ww","wh"
"69",-13.73,19.46,-12.58,19.77,"ww","ww"
"70",-11.14,19.51,-11.14,23.41,"ww","ww"
"71",-11.14,23.41,-12.38,23.41,"ww","ww"
"72",-12.38,23.41,-12.38,19.51,"ww","ww"
"73",-12.38,19.51,-12.24,19.51,"ww","wd"
"75",-11.34,19.51,-11.14,19.51,"hw","ww"
"76",-5.82,12.52,-16.66,12.5,"ww","ww"
"77",-16.66,12.5,-16.66,17.7,"ww","ww"
"78",-16.66,17.7,-16.47,17.7,"ww","wh"
"80",-15.43,17.7,-11,17.7,"dw","ww"
"81",-11,17.7,-8.29,17.7,"ww","wd"
"83",-7.27,17.7,-5.82,17.7,"hw","ww"
"84",-5.82,17.7,-5.82,12.52,"ww","ww"
"85",-5.8,19.49,-5.8,23.4,"ww","ww"
"86",-5.8,23.4,-10.8,23.4,"ww","ww"
"87",-10.8,23.4,-10.8,19.49,"ww","ww"
"88",-10.8,19.49,-10.63,19.49,"ww","wh"
"90",-9.7,19.49,-5.8,19.49,"dw","ww"
"91",-2.98,19.5,-3.02,19.5,"ww","wh"
"93",-3.92,19.5,-5.66,19.5,"dw","ww"
"94",-5.66,19.5,-5.66,23.4,"ww","ww"
"95",-5.66,23.4,-2.98,23.4,"ww","ww"
"96",-2.98,23.4,-2.98,19.5,"ww","ww"
"97",-0.12,14.44,-4.22,14.44,"ww","ww"
"98",-4.22,14.44,-4.22,13.7,"ww","wd"
"100",-4.22,12.79,-4.22,12.57,"hw","ww"
