name,class,room,ux,uy,uz,upstream,downstream,powerwatts
ESOURCE1,ElecSource,4017,-2.08,0,13.4,,,0
ECOND1,ElecCond,corridor,0,0,0,ESOURCE1,EJUNT1,0
EOUT1.1,ElecOut,4012,-7.48,0,12.52,ECOND1,,0
EOUT1.2,ElecOut,4012,-13.3,0,12.52,ECOND1,,0
EOUT1.3,ElecOut,4010,-20.1,0,12.52,ECOND1,,0
EJUNT1,ElecJunc,corridor,-2.08,0,12.52,ECOND1,,0
ECOND2,ElecCond,corridor,0,0,0,EJUNT1,EJUNT2,0
EJUNT2,ElecJunc,corridor,-23.72,0,12.52,ECOND2,,0
ECOND3,ElecCond,corridor,0,0,0,EJUNT2,EJUNT3,0
EJUNT3,ElecJunc,corridor,-28.1,0,12.52,ECOND3,,0
ECOND4,ElecCond,corridor,0,0,0,EJUNT2,EJUNT4,0
EOUT4.1,ElecOut,4007,-23.02,0,10.98,ECOND4,,0
EOUT4.2,ElecOut,4006,-20.3,0,5.88,ECOND4,,0
EOUT4.3,ElecOut,4005,-18.12,0,1.88,ECOND4,,0
EJUNT4,ElecJunc,corridor,-17.32,0,0.2,ECOND4,,0
ECOND5,ElecCond,corridor,0,0,0,EJUNT4,EJUNT5,0
EOUT5.1,ElecOut,4004,-12.22,0,0.2,ECOND5,,0
EOUT5.2,ElecOut,4003,-6.3,0,0.2,ECOND5,,0
EJUNT5,ElecJunc,corridor,-5.8,0,0.2,ECOND5,,0
ECOND6,ElecCond,corridor,0,0,0,EJUNT3,EJUNT6,0
EJUNT6,ElecJunc,corridor,-19.86,0,-3.44,ECOND6,,0
EOUT6.1,ElecOut,4007,-27.08,0,10.1,ECOND6,,0
EOUT6.2,ElecOut,4006,-24.24,0,4.64,ECOND6,,0
EOUT6.3,ElecOut,4005,-21.32,0,-0.46,ECOND6,,0
EOUT6.4,ElecOut,4004,-20.22,0,-2.42,ECOND6,,0
ECOND7,ElecCond,corridor,0,0,0,EJUNT1,EJUNT7,0
EJUNT7,ElecJunc,corridor,0.04,0,12.52,ECOND7,,0
ECOND8,ElecCond,corridor,0,0,0,EJUNT7,EJUNT8,0
EJUNT8,ElecJunc,corridor,0.04,0,-4.74,EJUNT8,,0
ECOND9,ElecCond,corridor,0,0,0,EJUNT8,EJUNT9,0
EJUNT9,ElecJunc,corridor,-18.8,0,-4.74,ECOND9,,0
ECOND10,ElecCond,corridor,0,0,0,EJUNT8,EJUNT10,0
EJUNT10,ElecJunc,corridor,9.62,0,-4.74,ECOND10,,0
ECOND30,ElecCond,corridor,0,0,0,EJUNT7,EJUNT30,0
EJUNT30,ElecJunc,corridor,12.28,0,12.72,ECOND30,,0
ECOND31,ElecCond,corridor,0,0,0,EJUNT30,EJUNT31,0
EJUNT31,ElecJunc,corridor,12.28,0,-4.86,ECOND30,,0
ECOND32,ElecCond,corridor,0,0,0,EJUNT30,EJUNT32,0
EJUNT32,ElecJunc,corridor,23.42,0,12.72,ECOND32,,0
ECOND33,ElecCond,corridor,0,0,0,EJUNT32,EJUNT33,0
EJUNT33,ElecJunc,corridor,23.42,0,-2.78,ECOND33,,0
ECOND34,ElecCond,corridor,0,0,0,EJUNT32,EJUNT34,0
EJUNT34,ElecJunc,corridor,35.52,0,12.72,ECOND34,,0
ECOND35,ElecCond,corridor,0,0,0,EJUNT34,EJUNT35,0
EJUNT35,ElecJunc,corridor,35.52,0,-2.78,ECOND35,,0
ECOND40,ElecCond,corridor,0,0,0,ESOURCE1,EJUNT40,0
EJUNT40,ElecJunc,corridor,-2.08,0,23.42,ECOND40,,0
ECOND41,ElecCond,corridor,0,0,0,EJUNT40,EJUNT41,0
EJUNT41,ElecJunc,corridor,35.52,0,23.42,ECOND41,,0
ECOND42,ElecCond,corridor,0,0,0,EJUNT40,EJUNT42,0
EJUNT42,ElecJunc,corridor,-16.82,0,23.42,ECOND42,,0
