"cid","tid","aid","sid","idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx","det","xi","zi"
2037,1,0,10,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-0.83516273172853,-19.613800835742,4.7098673377467
2037,1,0,36,32,-16.06,0.32,-20.56,-1.99,"ww","ww",-2.31,4.5,38.5386,-20.561,-16.059,-1.991,0.321,6.27206009769617,-16.6315547326622,0.0266019039000461
2037,1,1,7,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-2.13662549022096,-23.1579432389903,2.83693192405606
2037,1,1,7,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,12.9733944600284,-23.1066256863646,2.81136424923149
2037,1,1,34,43,-21.4,7.96,-24.92,6.1,"ww","ww",-1.86,3.52,67.8232,-24.921,-21.399,6.099,7.961,-2.78958063636287,-24.7944873848949,6.16632200684529
2037,1,1,34,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,4.7332079047254,-24.8746077401434,6.01594025952472
2037,1,1,34,49,-24.93,6.11,-21.38,7.96,"ww","ww",1.85,-3.55,-67.811,-24.931,-21.379,6.109,7.961,2.82854804938714,-24.7839423056677,6.18611457310275
2037,1,1,34,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,-28.7182181115799,-24.8552360010656,6.05230000808193
2037,1,1,37,45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371,-5.27599750059798,-22.5890094487241,10.2154279715854
2037,1,2,6,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,1.25032155644995,-22.2651223608198,2.36002045448453
2037,1,2,6,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-1.25433396166975,-22.2653119042875,2.36058217999502
2037,1,2,8,39,-22.76,2.1,-20.54,-2,"ww","ww",-4.1,-2.22,88.654,-22.761,-20.539,-2.001,2.101,-2.17534339853336,-22.1678792340661,1.00644363048243
2037,1,2,8,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,12.8349201936683,-22.1690829865445,1.07368968803815
2037,1,2,34,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-43.6552741166034,-24.5098020080796,-1.07322484213797
2037,1,2,34,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-43.5682641779891,-24.4748353350845,-1.07203297854818
2120,1,0,34,37,-17.87,1.42,-19.22,3.96,"dw","ww",2.54,1.35,-43.4728,-19.221,-17.869,1.419,3.961,-0.248382363795063,-19.0555282828672,3.65054950998719
2120,1,0,34,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,4.98421410290177,-19.2414923936438,3.94870738639054
2120,1,0,34,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-5.00143271020052,-19.2437006141349,3.95224784551202
2120,1,0,38,32,-16.06,0.32,-20.56,-1.99,"ww","ww",-2.31,4.5,38.5386,-20.561,-16.059,-1.991,0.321,3.39926895721076,-16.7098867150743,-0.0136085137381359
2120,1,1,5,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-0.811105092485177,-23.6108474483582,3.67564342288565
2120,1,1,5,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,4.92328108818928,-23.5740799752598,3.67776044269523
2120,1,1,34,48,-28.45,12.65,-24.93,6.11,"ww","ww",-6.54,-3.52,141.535,-28.451,-24.929,6.109,12.651,7.72599984447625,-25.6472663422406,7.44264826086744
2120,1,1,34,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,-28.7182181115799,-25.626456524815,7.4817072078251
2120,1,2,7,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-1.55988243042415,-23.2060412577242,2.92600232911892
2120,1,2,7,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,9.45935947636558,-23.2108694028896,3.00457321390534
2120,1,2,33,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-40.7888489473808,-25.0570149572561,-0.0569722222386448
2120,1,2,33,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-40.7091247588541,-25.0239499379331,-0.0548791036123315
2121,1,0,9,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-3.29297184361114,-20.0362064451379,5.48382342205917
2121,1,0,37,32,-16.06,0.32,-20.56,-1.99,"ww","ww",-2.31,4.5,38.5386,-20.561,-16.059,-1.991,0.321,5.66488238566088,-16.0746253027638,0.312492344581235
2121,1,1,8,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-2.48623155347699,-23.9057012843762,4.22166904514118
2121,1,1,8,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,15.0969245439875,-23.8512813997837,4.19153529669837
2121,1,1,33,48,-28.45,12.65,-24.93,6.11,"ww","ww",-6.54,-3.52,141.535,-28.451,-24.929,6.109,12.651,6.97779339167267,-25.1353595696962,6.4915487459697
2121,1,1,33,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,-25.9382005854521,-25.1147020536413,6.53320350094747
2121,1,1,37,45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371,-5.27599750059798,-22.8081531700145,10.6242443619926
2121,1,2,8,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,3.62113053281102,-22.1750556308915,2.4073436515655
2121,1,2,8,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-3.63144580489833,-22.1750694980235,2.40811832075943
2121,1,2,9,39,-22.76,2.1,-20.54,-2,"ww","ww",-4.1,-2.22,88.654,-22.761,-20.539,-2.001,2.101,-1.97376424942823,-22.1232595905551,0.924037982556707
2121,1,2,9,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,11.6408798814937,-22.1284135561717,0.998311537698375
2121,1,2,34,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-43.6552741166034,-25.0385588287473,-0.0912478894693056
2121,1,2,34,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-43.5682641779891,-25.0049348283016,-0.0901017918156862
2122,1,0,8,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-3.2764033167662,-19.7719145310871,4.99957243115307
2122,1,0,37,31,-9.46,0.32,-16.06,0.32,"dw","ww",0,6.6,2.112,-16.061,-9.459,0.319,0.321,5.82812246631622,-15.0808496378355,0.32
2122,1,1,9,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-2.70514104309122,-24.2958699419721,4.9442035962447
2122,1,1,9,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,16.425230487354,-24.2436022034177,4.91867645030402
2122,1,1,32,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,2.98065193165685,-24.646973524655,5.59439541602777
2122,1,1,32,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,-18.0856921776373,-24.6254027835099,5.62631905218479
2122,1,1,33,43,-21.4,7.96,-24.92,6.1,"ww","ww",-1.86,3.52,67.8232,-24.921,-21.399,6.099,7.961,-2.67995313729577,-24.1198610304192,6.52280070551712
2122,1,1,33,49,-24.93,6.11,-21.38,7.96,"ww","ww",1.85,-3.55,-67.811,-24.931,-21.379,6.109,7.961,2.71602090155939,-24.1135851835686,6.53545560856284
2122,1,1,36,45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371,-6.52919988886364,-22.2897009765864,9.65706285632149
2122,1,2,7,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,2.97788473224459,-21.2054748211522,2.91678441600477
2122,1,2,7,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-2.98653448109345,-21.2055985181232,2.91879740031258
2122,1,2,32,39,-22.76,2.1,-20.54,-2,"ww","ww",-4.1,-2.22,88.654,-22.761,-20.539,-2.001,2.101,-2.90955672686297,-21.618353540022,-0.00844616482417936
2122,1,2,32,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,17.2326926859967,-21.5839142048714,-0.0108826798261492
2122,1,2,35,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-41.1643462622096,-25.059850332676,-0.0517065250303483
2122,1,2,35,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-41.076325985074,-25.0243524861016,-0.0541334424564467
2123,1,0,7,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-2.63191401004367,-19.5237434609025,4.54485898642785
2123,1,0,9,9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501,12.0324641527195,-17.9597172020566,5.53535682085059
2123,1,0,35,10,-16.1,2.1,-8.1,2.1,"ww","ww",0,-8,-16.8,-16.101,-8.099,2.099,2.101,-8.96803129697308,-15.2226513177741,2.1
2123,1,0,37,31,-9.46,0.32,-16.06,0.32,"dw","ww",0,6.6,2.112,-16.061,-9.459,0.319,0.321,5.82812246631622,-14.0808496378355,0.32
2123,1,1,34,43,-21.4,7.96,-24.92,6.1,"ww","ww",-1.86,3.52,67.8232,-24.921,-21.399,6.099,7.961,-2.78958063636287,-22.7523542451902,7.24540372271197
2123,1,1,34,49,-24.93,6.11,-21.38,7.96,"ww","ww",1.85,-3.55,-67.811,-24.931,-21.379,6.109,7.961,2.82854804938714,-22.752777785404,7.24460875971905
2123,1,1,35,45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371,-6.77135283890673,-21.8285936224915,8.79685913713063
2123,1,1,37,9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501,10.2017022850722,-20.7701159780384,10.7268572240852
2123,1,1,39,8,-8.1,12.5,-21.73,12.5,"ww","ww",0,13.63,170.375,-21.731,-8.099,12.499,12.501,-14.9976782933318,-21.0073229653657,12.5
2123,1,1,39,54,-21.67,12.49,-16.71,12.49,"ww","ww",0,-4.96,-61.9504,-21.671,-16.709,12.489,12.491,5.45770244570256,-21.0011809756213,12.49
2123,1,2,6,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,1.25032155644995,-20.2796960310729,3.40321055994473
2123,1,2,6,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-1.25433396166975,-20.2806460142166,3.4060259023704
2123,1,2,33,39,-22.76,2.1,-20.54,-2,"ww","ww",-4.1,-2.22,88.654,-22.761,-20.539,-2.001,2.101,-4.87368917157373,-21.6074866316793,-0.0285156802318865
2123,1,2,33,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,28.8583495708399,-21.5754932362678,-0.0264903987342209
2123,1,2,36,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-42.2476030577504,-25.0828732156185,-0.00894974242277034
2123,1,2,36,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-42.1605833247552,-25.048478213399,-0.00944408821431368
2204,1,0,10,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-0.83516273172853,-20.6928639545242,6.68698943925717
2204,1,1,7,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-2.13662549022096,-24.2673885566403,4.89146029007456
2204,1,1,7,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,12.9733944600284,-24.214774863296,4.86524684586456
2204,1,1,33,48,-28.45,12.65,-24.93,6.11,"ww","ww",-6.54,-3.52,141.535,-28.451,-24.929,6.109,12.651,6.97779339167267,-25.9139176590168,7.93807428692324
2204,1,1,33,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,-25.9382005854521,-25.8941693801943,7.9778956145891
2204,1,1,37,45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371,-5.27599750059798,-23.6184805008977,12.135923968916
2204,1,2,8,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-2.11635422182847,-23.165081482398,2.8501508933296
2204,1,2,8,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,12.8349201936683,-23.1663693374292,2.92209522998327
2204,1,2,34,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-43.6552741166034,-25.5853386967464,0.924200436814696
2204,1,2,34,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-43.5682641779891,-25.5531031347861,0.925299208568086
2205,1,0,9,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-3.29297184361114,-20.4352500174453,6.2149742255126
2205,1,1,9,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-2.70514104309122,-24.6710977071758,5.63906982810333
2205,1,1,9,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,16.425230487354,-24.6183947559127,5.61333012775264
2205,1,1,33,48,-28.45,12.65,-24.93,6.11,"ww","ww",-6.54,-3.52,141.535,-28.451,-24.929,6.109,12.651,6.97779339167267,-25.393464048369,6.97109513532186
2205,1,1,33,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,-25.9382005854521,-25.3731079590221,7.01214207977526
2205,1,1,36,45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371,-6.52919988886364,-23.0453063453074,11.0666576993494
2205,1,2,8,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,3.62113053281102,-22.1573217120465,2.41666147333149
