"idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx"
1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501
2,-19.8,-9.82,12.22,-9.82,"ww","wi",0,-32.02,314.4364,-19.801,12.221,-9.821,-9.819
3,35.52,-3.8,35.52,24.5,"iw","ww",28.3,0,1005.216,35.519,35.521,-3.801,24.501
4,35.52,24.5,-38.28,24.5,"ww","ww",0,73.8,1808.1,-38.281,35.521,24.499,24.501
5,23.22,-6.96,23.22,12.7,"iw","ww",19.66,0,456.5052,23.219,23.221,-6.961,12.701
6,23.22,12.7,12.22,12.7,"ww","ww",0,11,139.7,12.219,23.221,12.699,12.701
7,12.22,12.7,12.22,-9.82,"ww","wi",-22.52,0,-275.1944,12.219,12.221,-9.821,12.701
8,-8.1,12.5,-21.73,12.5,"ww","ww",0,13.63,170.375,-21.731,-8.099,12.499,12.501
9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501
10,-16.1,2.1,-8.1,2.1,"ww","ww",0,-8,-16.8,-16.101,-8.099,2.099,2.101
11,-8.1,2.1,-8.1,12.5,"ww","ww",10.4,0,-84.24,-8.101,-8.099,2.099,12.501
12,-8.1,2.1,-5.9,2.1,"ww","ww",0,-2.2,-4.62,-8.101,-5.899,2.099,2.101
13,-5.9,2.1,-5.9,4.96,"ww","ww",2.86,0,-16.874,-5.901,-5.899,2.099,4.961
14,-5.9,4.96,-8.1,4.96,"ww","ww",0,2.2,10.912,-8.101,-5.899,4.959,4.961
15,-8.1,4.96,-8.1,2.1,"ww","ww",-2.86,0,23.166,-8.101,-8.099,2.099,4.961
16,-8.1,9.65,-5.9,9.65,"ww","ww",0,-2.2,-21.23,-8.101,-5.899,9.649,9.651
17,-5.9,9.65,-5.9,12.5,"ww","ww",2.85,0,-16.815,-5.901,-5.899,9.649,12.501
18,-5.9,12.5,-8.1,12.5,"ww","ww",0,2.2,27.5,-8.101,-5.899,12.499,12.501
19,-8.1,12.5,-8.1,9.65,"ww","ww",-2.85,0,23.085,-8.101,-8.099,9.649,12.501
20,-4.17,2.1,0,2.1,"ww","ww",0,-4.17,-8.757,-4.171,0.001,2.099,2.101
21,0,2.1,0,12.58,"ww","ww",10.48,0,0,-0.001,0.001,2.099,12.581
22,0,12.58,-4.17,12.58,"ww","ww",0,4.17,52.4586,-4.171,0.001,12.579,12.581
