"bid","lid","aid","sid","x","z","hit1","hit2"
34,1453,0,34,-13.7808,-4.79,1,1
333,1453,0,34,-13.7745,-4.8,1,1
34,1454,0,34,-12.7808,-4.79,1,1
333,1454,0,34,-12.7745,-4.8,1,1
34,1455,0,34,-11.7808,-4.79,1,1
333,1455,0,34,-11.7745,-4.8,1,1
34,1456,0,34,-10.7808,-4.79,1,1
334,1456,0,34,-10.7745,-4.8,1,1
34,1457,0,34,-9.78075,-4.79,1,1
334,1457,0,34,-9.77452,-4.8,1,1
34,1458,0,34,-8.78075,-4.79,1,1
334,1458,0,34,-8.77452,-4.8,1,1
24,1459,0,34,-7.78075,-4.79,1,1
28,1459,0,34,-8.36,-3.86129,1,1
29,1459,0,34,-8.36,-3.86129,1,1
334,1459,0,34,-7.77452,-4.8,1,1
28,1460,0,23,-8.36,-2.14265,1,1
29,1460,0,23,-8.36,-2.14265,1,1
28,1460,0,25,-8.36,-2.16823,1,1
29,1460,0,25,-8.36,-2.16823,1,1
28,1460,0,30,-8.36,-2.18529,1,1
29,1460,0,30,-8.36,-2.18529,1,1
24,1460,0,34,-6.78075,-4.79,1,1
334,1460,0,34,-6.77452,-4.8,1,1
171,1460,0,39,-2.84,-8.19637,1,1
336,1460,0,39,-2.84,-8.19637,1,1
28,1461,0,9,-8.36,-2.73433,1,1
29,1461,0,9,-8.36,-2.73433,1,1
24,1461,0,34,-5.78075,-4.79,1,1
334,1461,0,34,-5.77452,-4.8,1,1
171,1461,0,38,-2.84,-8.2175,1,1
336,1461,0,38,-2.84,-8.2175,1,1
28,1462,0,8,-8.36,-3.35414,1,1
29,1462,0,8,-8.36,-3.35414,1,1
25,1462,0,33,-5.6,-3.49894,1,1
171,1462,0,37,-2.84,-7.97051,1,1
336,1462,0,37,-2.84,-7.97051,1,1
168,1462,0,39,-0.84,-8.19637,1,1
28,1463,0,6,-8.36,-4.10228,1,1
29,1463,0,6,-8.36,-4.10228,1,1
25,1463,0,10,-5.6,-2.28614,1,1
335,1463,0,34,-3.77452,-4.8,1,1
171,1463,0,36,-2.84,-6.60007,1,1
336,1463,0,36,-2.84,-6.60007,1,1
168,1463,0,38,-0.84,-8.2175,1,1
34,1536,0,35,-14.2765,-4.79,1,1
333,1536,0,35,-14.2716,-4.8,1,1
34,1537,0,35,-13.2765,-4.79,1,1
333,1537,0,35,-13.2716,-4.8,1,1
34,1538,0,35,-12.2765,-4.79,1,1
333,1538,0,35,-12.2716,-4.8,1,1
34,1539,0,35,-11.2765,-4.79,1,1
334,1539,0,35,-11.2716,-4.8,1,1
34,1540,0,35,-10.2765,-4.79,1,1
334,1540,0,35,-10.2716,-4.8,1,1
34,1541,0,35,-9.27651,-4.79,1,1
334,1541,0,35,-9.27162,-4.8,1,1
24,1542,0,35,-8.27651,-4.79,1,1
28,1542,0,35,-8.36,-4.6195,1,1
29,1542,0,35,-8.36,-4.6195,1,1
334,1542,0,35,-8.27162,-4.8,1,1
28,1543,0,34,-8.36,-2.86129,1,1
29,1543,0,34,-8.36,-2.86129,1,1
24,1543,0,35,-7.27651,-4.79,1,1
334,1543,0,35,-7.27162,-4.8,1,1
28,1544,0,23,-8.36,-1.14265,1,1
29,1544,0,23,-8.36,-1.14265,1,1
28,1544,0,25,-8.36,-1.16823,1,1
29,1544,0,25,-8.36,-1.16823,1,1
28,1544,0,30,-8.36,-1.18529,1,1
29,1544,0,30,-8.36,-1.18529,1,1
24,1544,0,35,-6.27651,-4.79,1,1
334,1544,0,35,-6.27162,-4.8,1,1
171,1544,0,39,-2.84,-7.19637,1,1
336,1544,0,39,-2.84,-7.19637,1,1
28,1545,0,9,-8.36,-1.73433,1,1
29,1545,0,9,-8.36,-1.73433,1,1
25,1545,0,35,-5.6,-4.12936,1,1
171,1545,0,38,-2.84,-7.21749,1,1
336,1545,0,38,-2.84,-7.21749,1,1
28,1546,0,8,-8.36,-2.35414,1,1
29,1546,0,8,-8.36,-2.35414,1,1
25,1546,0,33,-5.6,-2.49894,1,1
171,1546,0,37,-2.84,-6.97051,1,1
336,1546,0,37,-2.84,-6.97051,1,1
168,1546,0,39,-0.84,-7.19637,1,1
28,1547,0,6,-8.36,-3.10228,1,1
