"t","pos.x","pos.z"
0.36,0,0
1.02,0.00317482341506192,-0.00518849653398501
2.02,-0.00126445993209146,-0.0102176876581801
3.02,-0.0116974487738979,-0.000411937109307203
8.74,-0.0128399338120921,0.00775474691405886
9.04,0.0756844195197246,0.183730423833296
10.08,0.284883314097065,0.421404197118483
11.03,0.965569523023699,0.872220440145599
12.01,1.83411811309193,1.39462387303105
13.03,2.68188536985454,1.96579344361512
14.01,2.93584910162783,2.0392810136102
15.02,3.01394914802957,2.1689821421791
16.06,3.05792874295729,2.12419603685621
17.64,3.02399884836623,2.216183874384
18.02,3.02455142562739,2.21748566483199
19.05,3.0228376980701,2.22973569086703
20,3.03191290069008,2.23663791495831
30.49,3.02690237482383,2.2356920658458
31.02,2.97187991658481,2.19836206330983
32.02,2.88918258286063,2.16279310219326
33.01,3.05209434287243,2.14664508529149
34.02,3.07696900153594,2.14914535655151
35.02,3.08005049866127,2.17088252231585
36.05,3.09387361210177,2.14734698461621
38.72,3.09777898344572,2.14568925283276
39.04,3.0744960774456,2.11255458385615
40.02,3.07394350018445,2.11125279340817
41.04,3.07952526856979,2.108115300509
43.74,3.07859808471523,2.10774069391558
44.01,3.0834119746558,2.11184270118521
45,3.09805028040318,2.12099256483698
46.02,3.11228533095299,2.08575957836344
47.02,3.43603137347684,1.42060282995736
48.02,4.07369426510948,0.461648171678521
49.02,4.7351066941909,-0.598800129115358
50.02,5.28401126605015,-1.71980404123699
51.03,5.88886548000299,-2.80310334422924
52.03,6.62097046799583,-3.686152202762
53.07,7.63123711953117,-3.92294175657625
54.1,8.92207715718756,-3.88782769695262
