"idx","x","z"
3548,-22.448,2.825
3657,-23.198,3.2
3658,-22.448,3.575
3659,-21.698,3.2
3660,-20.948,3.575
3766,-23.948,4.325
3767,-23.198,3.95
3768,-22.448,4.325
3769,-21.698,3.95
3770,-20.948,4.325
3771,-20.198,3.95
3876,-23.948,5.075
3877,-23.198,4.7
3878,-22.448,5.075
3879,-21.698,4.7
3880,-20.948,5.075
3881,-20.198,4.7
3986,-23.948,5.825
3987,-23.198,5.45
3988,-22.448,5.825
3989,-21.698,5.45
3990,-20.948,5.825
3991,-20.198,5.45
4095,-24.698,6.2
4096,-23.948,6.575
4097,-23.198,6.2
4098,-22.448,6.575
4099,-21.698,6.2
4100,-20.948,6.575
4207,-23.198,6.95
4208,-22.448,7.325
4209,-21.698,6.95
4319,-21.698,7.7
