"lid","tid","aid","sid","idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx","det","xi","zi"
2037,1,0,10,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-0.83516273172853,-19.613800835742,4.7098673377467
2037,1,0,36,32,-16.06,0.32,-20.56,-1.99,"ww","ww",-2.31,4.5,38.5386,-20.561,-16.059,-1.991,0.321,6.27206009769617,-16.6315547326622,0.0266019039000461
2037,1,1,34,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-3.61338364022405,-20.5727266434213,6.46686688213964
2037,1,1,35,9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501,12.4714902223044,-18.4411607484184,6.42470191537325
2037,1,2,7,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-2.13662549022096,-23.1579432389903,2.83693192405606
2037,1,2,7,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,12.9733944600284,-23.1066256863646,2.81136424923149
2037,1,2,34,43,-21.4,7.96,-24.92,6.1,"ww","ww",-1.86,3.52,67.8232,-24.921,-21.399,6.099,7.961,-2.78958063636287,-24.7944873848949,6.16632200684529
2037,1,2,34,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,4.7332079047254,-24.8746077401434,6.01594025952472
2037,1,2,34,49,-24.93,6.11,-21.38,7.96,"ww","ww",1.85,-3.55,-67.811,-24.931,-21.379,6.109,7.961,2.82854804938714,-24.7839423056677,6.18611457310275
2037,1,2,34,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,-28.7182181115799,-24.8552360010656,6.05230000808193
2037,1,2,37,45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371,-5.27599750059798,-22.5890094487241,10.2154279715854
2037,1,3,7,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-3.6965079206451,-22.8238930064099,2.21832038224059
2037,1,3,7,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,22.4327539363939,-22.7964587667909,2.23648998913606
2037,1,3,11,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-5.07727044846081,-25.4153210469925,0.608453372986004
2037,1,3,11,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-5.07310045649838,-25.3977793973865,0.637584876175581
2037,1,3,19,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,3.49548689484788,-25.3694780113528,0.523316306797959
2037,1,3,19,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,3.49005377109835,-25.3423825318807,0.5349703470478
2037,1,3,20,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-5.29271625125999,-25.3792001638451,0.541371732855232
2037,1,3,20,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-5.28115094789015,-25.3439521913289,0.537877909843901
2037,1,4,6,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,1.25032155644995,-22.2651223608198,2.36002045448453
2037,1,4,6,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-1.25433396166975,-22.2653119042875,2.36058217999502
2037,1,4,8,39,-22.76,2.1,-20.54,-2,"ww","ww",-4.1,-2.22,88.654,-22.761,-20.539,-2.001,2.101,-2.17534339853336,-22.1678792340661,1.00644363048243
2037,1,4,8,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,12.8349201936683,-22.1690829865445,1.07368968803815
2037,1,4,34,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-43.6552741166034,-24.5098020080796,-1.07322484213797
2037,1,4,34,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-43.5682641779891,-24.4748353350845,-1.07203297854818
2037,1,5,7,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,2.64807158053215,-21.8102350066238,2.59902906431629
2037,1,5,7,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-2.65902002904001,-21.8114737352738,2.59964622958817
2037,1,5,35,39,-22.76,2.1,-20.54,-2,"ww","ww",-4.1,-2.22,88.654,-22.761,-20.539,-2.001,2.101,-5.15472419299719,-20.6562661588742,-1.7852742110881
2037,1,5,35,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,30.4776173753764,-20.6397870858415,-1.76076103479152
2037,1,5,38,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-8.05807541497724,-22.1613785235262,-5.43458274202285
2037,1,5,38,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-8.08901325757154,-22.2143381655778,-5.25927083985722
2038,1,0,9,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-3.29297184361114,-19.5678354624377,4.62564691182133
2038,1,0,37,31,-9.46,0.32,-16.06,0.32,"dw","ww",0,6.6,2.112,-16.061,-9.459,0.319,0.321,5.82812246631622,-15.4953821865833,0.32
2038,1,1,34,9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501,13.2301482188923,-18.7498436397258,6.99491542684688
2038,1,2,9,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-2.70514104309122,-23.9291558041569,4.26510334103129
2038,1,2,9,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,16.425230487354,-23.8773134036719,4.23978392680567
2038,1,2,32,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,2.98065193165685,-24.4969046134768,5.31649002495706
2038,1,2,32,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,-18.0856921776373,-24.4754051507575,5.34830817254903
2038,1,2,34,43,-21.4,7.96,-24.92,6.1,"ww","ww",-1.86,3.52,67.8232,-24.921,-21.399,6.099,7.961,-2.78958063636287,-23.7734208150426,6.70586286477863
2038,1,2,34,49,-24.93,6.11,-21.38,7.96,"ww","ww",1.85,-3.55,-67.811,-24.931,-21.379,6.109,7.961,2.82854804938714,-23.7683600455358,6.7153616664109
2038,1,2,36,45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371,-6.52919988886364,-22.1485168270428,9.39368139113842
2038,1,3,8,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-4.60258577530547,-22.7679129592054,2.11465362815816
2038,1,3,8,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,27.9318447376559,-22.7398350352005,2.13154157669227
2038,1,3,38,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-30.2964805262059,-28.9005740732088,7.08106613595918
2038,1,3,38,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-30.2233939650603,-28.8728049164239,7.07455751149364
2038,1,4,6,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,1.25032155644995,-21.2724091959463,2.88161550721463
2038,1,4,6,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-1.25433396166975,-21.2729789592521,2.88330404118271
2038,1,4,32,39,-22.76,2.1,-20.54,-2,"ww","ww",-4.1,-2.22,88.654,-22.761,-20.539,-2.001,2.101,-2.90955672686297,-21.3368376725929,-0.528362856923009
2038,1,4,32,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,17.2326926859967,-21.3034387342101,-0.530725765906691
2038,1,4,35,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-41.1643462622096,-24.7803294063092,-0.570816816854327
2038,1,4,35,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-41.076325985074,-24.744081009158,-0.573295047936036
2038,1,5,7,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,2.64807158053215,-20.8350713926892,3.11140316655315
2038,1,5,7,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-2.65902002904001,-20.8375819760773,3.11265400133393
2038,1,5,15,37,-17.87,1.42,-19.22,3.96,"dw","ww",2.54,1.35,-43.4728,-19.221,-17.869,1.419,3.961,-0.0350423489437619,-18.0138141341007,1.6905836300858
2038,1,5,18,37,-17.87,1.42,-19.22,3.96,"dw","ww",2.54,1.35,-43.4728,-19.221,-17.869,1.419,3.961,0.11286260626639,-18.0233789162944,1.70857959065761
2038,1,5,35,32,-16.06,0.32,-20.56,-1.99,"ww","ww",-2.31,4.5,38.5386,-20.561,-16.059,-1.991,0.321,3.05279817882076,-19.9034525640601,-1.65297231621754
2038,1,5,35,35,-20.54,-2,-17.02,-0.2,"ww","ww",1.8,-3.52,-29.932,-20.541,-17.019,-2.001,-0.199,-2.39279471011911,-19.925498387089,-1.68576622067053
2038,1,5,36,33,-20.56,-1.99,-18.98,-4.79,"ww","ww",-2.8,-1.58,60.7122,-20.561,-18.979,-4.791,-1.989,-3.46350595694441,-20.3600446753296,-2.3443512082767
2038,1,5,36,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,29.393349993599,-20.3415979376223,-2.31343527286497
2120,1,0,11,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-0.422840881062722,-20.4787707930466,6.29471551758221
2120,1,0,19,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,0.289992317507338,-20.5240801502151,6.37773395265219
2120,1,0,20,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-0.437639972235746,-20.5134727639341,6.35829848359537
2120,1,0,38,31,-9.46,0.32,-16.06,0.32,"dw","ww",0,6.6,2.112,-16.061,-9.459,0.319,0.321,1.56281105517402,-15.9999746139618,0.32
2120,1,1,9,43,-21.4,7.96,-24.92,6.1,"ww","ww",-1.86,3.52,67.8232,-24.921,-21.399,6.099,7.961,-3.72122067391122,-23.7546847774539,6.71576315736813
2120,1,1,9,49,-24.93,6.11,-21.38,7.96,"ww","ww",1.85,-3.55,-67.811,-24.931,-21.379,6.109,7.961,3.75110621959944,-23.7551351539188,6.72225351133811
2120,1,1,34,45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371,-6.8810001440792,-21.3870731123525,7.97319501304386
2120,1,1,36,9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501,12.8017690407953,-19.2480364392644,7.91520052723799
2120,1,2,6,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-1.10708100277696,-23.9083467805317,4.22656811209582
2120,1,2,6,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,6.72067983516583,-23.8655459332253,4.21797368387109
2120,1,2,34,48,-28.45,12.65,-24.93,6.11,"ww","ww",-6.54,-3.52,141.535,-28.451,-24.929,6.109,12.651,7.72599984447625,-25.7811386408053,7.69137690649615
2120,1,2,34,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,-28.7182181115799,-25.7604910122427,7.73013143337808
2120,1,2,38,45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371,-1.25723746666323,-23.7470830825466,12.3758343022679
2120,1,3,6,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-1.35017092860537,-23.6917048087429,3.82537927544979
2120,1,3,6,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,8.19287559037379,-23.668159062052,3.85212992569646
2120,1,3,10,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-10.0740855679685,-26.2690441937067,2.19393921688384
2120,1,3,10,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-10.0570429824444,-26.2421800741082,2.20171268459738
2120,1,4,7,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,9.45935947636558,-23.1761955272027,2.9403074351513
2120,1,4,8,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-2.11635422182847,-23.1743387119186,2.86729391096037
2120,1,4,34,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-43.6552741166034,-25.3209602864125,0.433211960480363
2120,1,4,34,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-43.5682641779891,-25.2880533881776,0.434333615201841
2120,1,5,9,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,3.29652294694498,-20.8753778214642,3.090225212451
2120,1,5,9,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-3.31019428876435,-20.8778596435442,3.09143731452745
2120,1,5,34,39,-22.76,2.1,-20.54,-2,"ww","ww",-4.1,-2.22,88.654,-22.761,-20.539,-2.001,2.101,-4.85815624704171,-21.5571365744584,-0.121504524648984
2120,1,5,34,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,28.71821811158,-21.5407867141151,-0.0908166855943097
2120,1,5,37,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-33.5591384919749,-23.3051440710238,-3.31044672524154
2120,1,5,37,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-33.5419856339267,-23.2893787380022,-3.267916615653
2121,1,0,9,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-3.29297184361114,-20.0362064451379,5.48382342205917
