lid,aid,ninters
948,0,3
950,0,3
952,0,3
954,0,3
956,0,3
958,0,3
960,0,3
962,0,7
964,0,10
966,0,8
968,0,8
970,0,6
972,0,2
974,0,2
976,0,2
978,0,2
1032,0,2
1033,0,2
1034,0,2
1035,0,2
1036,0,2
1037,0,2
1038,0,2
1039,0,2
1040,0,2
1041,0,2
1042,0,2
1043,0,2
1044,0,4
1045,0,6
1046,0,6
1047,0,7
1048,0,10
1049,0,7
1050,0,13
1051,0,6
1052,0,8
1053,0,6
1054,0,6
1055,0,2
1056,0,2
1057,0,2
1058,0,2
1059,0,2
1060,0,2
1061,0,2
1062,0,2
1063,0,2
1115,0,2
1116,0,2
1117,0,2
1118,0,2
1119,0,2
1120,0,2
1121,0,2
1122,0,2
1123,0,2
1124,0,2
1125,0,2
1126,0,2
1127,0,2
1128,0,6
1129,0,6
1130,0,7
1131,0,7
1132,0,10
1133,0,9
1134,0,13
1135,0,10
1136,0,8
1137,0,6
1138,0,6
1139,0,2
1140,0,2
1141,0,2
1142,0,2
1143,0,2
1144,0,2
1145,0,2
1146,0,2
1147,0,2
1199,0,2
1200,0,6
1201,0,2
1202,0,6
1203,0,2
1204,0,6
1205,0,2
1206,0,6
1207,0,2
1208,0,12
1209,0,2
1210,0,6
1211,0,4
1212,0,6
1213,0,6
1214,0,7
1215,0,10
1216,0,12
1217,0,8
1218,0,12
1219,0,8
1220,0,6
1221,0,8
1222,0,6
1223,0,2
1224,0,6
1225,0,2
1226,0,4
1227,0,2
1228,0,6
1229,0,2
1230,0,2
1231,0,2
1282,0,4
1283,0,6
1284,0,4
1285,0,6
1286,0,4
1287,0,6
1288,0,4
1289,0,6
1290,0,4
1291,0,6
1292,0,12
1293,0,8
1294,0,6
1295,0,9
1296,0,8
1297,0,8
1298,0,8
1299,0,12
1300,0,9
1301,0,13
1302,0,5
1303,0,6
1304,0,2
1305,0,8
1306,0,4
1307,0,4
1308,0,6
1309,0,6
1310,0,4
1311,0,6
1312,0,4
1313,0,4
1314,0,4
1315,0,2
1327,0,1
1328,0,1
1329,0,1
1330,0,1
1366,0,4
1367,0,4
1368,0,4
1369,0,4
1370,0,5
1371,0,4
1372,0,5
1373,0,4
1374,0,5
1375,0,4
1376,0,12
1377,0,8
1378,0,12
1379,0,7
1380,0,11
1381,0,7
1382,0,12
1383,0,8
1384,0,7
1385,0,10
1386,0,7
1387,0,4
1388,0,3
1389,0,4
1390,0,2
1391,0,6
1392,0,5
1393,0,6
1394,0,5
1395,0,6
1396,0,2
1397,0,2
1398,0,2
1399,0,4
1411,0,1
1412,0,5
1413,0,1
1414,0,1
1415,0,1
1416,0,5
1417,0,1
1418,0,5
1449,0,4
1450,0,4
1451,0,4
1452,0,2
1453,0,2
1454,0,2
1455,0,2
1456,0,2
1457,0,2
1458,0,2
1459,0,4
1460,0,10
1461,0,6
1462,0,6
1463,0,7
1464,0,3
1465,0,5
1466,0,5
1467,0,4
1468,0,9
1469,0,8
1470,0,5
1471,0,5
1472,0,5
1473,0,3
1474,0,5
1475,0,7
1476,0,7
1477,0,3
1478,0,5
1479,0,2
1480,0,2
1481,0,2
1482,0,2
1483,0,2
1495,0,5
1496,0,5
1497,0,7
1498,0,7
1499,0,3
1500,0,3
1501,0,5
1502,0,7
1503,0,8
1504,0,10
1505,0,2
1506,0,2
1532,0,6
1533,0,6
1534,0,6
1535,0,4
1536,0,2
1537,0,2
1538,0,2
1539,0,2
1540,0,2
1541,0,2
1542,0,4
1543,0,4
1544,0,10
1545,0,5
1546,0,8
1547,0,7
1548,0,3
1549,0,6
1550,0,5
1551,0,6
1552,0,7
1553,0,6
1554,0,7
1555,0,11
1556,0,10
1557,0,7
1558,0,6
1559,0,9
1560,0,4
1561,0,5
1562,0,7
1563,0,2
1564,0,2
1565,0,2
1566,0,2
1567,0,2
1579,0,5
1580,0,7
1581,0,5
1582,0,7
1583,0,7
1584,0,7
1585,0,3
1586,0,7
1587,0,6
1588,0,10
1589,0,4
1590,0,4
1616,0,6
1617,0,6
1618,0,6
1619,0,8
1620,0,6
1621,0,2
1622,0,6
1623,0,2
1624,0,6
1625,0,2
1626,0,8
1627,0,4
1628,0,10
1629,0,5
1630,0,12
1631,0,6
1632,0,3
1633,0,4
1634,0,4
1635,0,7
1636,0,6
1637,0,9
1638,0,7
1639,0,9
1640,0,8
1641,0,8
1642,0,7
1643,0,10
1644,0,4
1645,0,5
1646,0,3
1647,0,2
1648,0,2
1649,0,2
1650,0,2
1651,0,2
1663,0,3
1664,0,3
1665,0,5
1666,0,5
1667,0,5
1668,0,5
1669,0,5
1670,0,4
1671,0,2
1672,0,8
1673,0,4
1674,0,2
1700,0,4
1701,0,6
1702,0,4
1703,0,3
1704,0,1
1705,0,6
1706,0,2
1707,0,4
1708,0,4
1709,0,6
1710,0,5
1711,0,5
1712,0,2
1713,0,7
1714,0,4
1715,0,5
1716,0,1
1717,0,4
1718,0,2
1719,0,5
1720,0,6
1721,0,7
1722,0,7
1723,0,9
1724,0,8
1725,0,9
1726,0,6
1727,0,5
1728,0,3
1729,0,5
1730,0,3
1731,0,3
1732,0,2
1733,0,2
1734,0,2
1735,0,2
1747,0,3
1748,0,3
1749,0,5
1750,0,3
1751,0,5
1752,0,5
1753,0,5
1754,0,4
1755,0,4
1756,0,6
1757,0,4
1758,0,2
1783,0,4
1784,0,4
1785,0,4
1786,0,4
1787,0,2
1788,0,2
1789,0,1
1790,0,4
1791,0,4
1792,0,6
1793,0,5
1794,0,6
1795,0,5
1796,0,4
1797,0,3
1798,0,2
1799,0,2
1801,0,1
1802,0,4
1803,0,4
1804,0,8
1805,0,6
1806,0,11
1807,0,8
1808,0,11
1809,0,2
1810,0,5
1811,0,8
1812,0,3
1813,0,2
1814,0,3
1815,0,3
1816,0,2
1817,0,2
1818,0,2
1819,0,2
1831,0,2
1832,0,8
1833,0,3
1834,0,3
1835,0,6
1836,0,11
1837,0,9
1838,0,6
1839,0,6
1840,0,10
1841,0,2
1842,0,2
1866,0,6
1867,0,12
1868,0,20
1869,0,4
1870,0,2
1871,0,2
1872,0,4
1873,0,3
1874,0,3
1875,0,5
1876,0,5
1877,0,6
1878,0,6
1879,0,3
1880,0,6
1881,0,6
1882,0,4
1883,0,2
1884,0,7
1885,0,4
1886,0,5
1887,0,6
1888,0,9
1889,0,10
1890,0,10
1891,0,13
1892,0,10
1893,0,7
1894,0,4
1895,0,5
1896,0,2
1897,0,2
1898,0,2
1899,0,3
1900,0,2
1901,0,2
1902,0,2
1903,0,2
1915,0,6
1916,0,8
1917,0,5
1918,0,12
1919,0,10
1920,0,10
1921,0,7
1922,0,10
1923,0,6
1924,0,10
1925,0,6
1926,0,4
1950,0,6
1951,0,6
1952,0,6
1953,0,10
1954,0,2
1955,0,2
1956,0,4
1957,0,4
1958,0,3
1959,0,5
1961,0,5
1963,0,3
1965,0,4
1967,0,5
1969,0,7
1970,0,5
1971,0,9
1973,0,12
1975,0,12
1976,0,5
1977,0,6
1978,0,3
1979,0,5
1980,0,3
1981,0,2
1982,0,2
1983,0,3
1984,0,2
1985,0,2
1986,0,2
1987,0,2
1999,0,6
2000,0,1
2001,0,5
2002,0,6
2003,0,11
2004,0,6
2005,0,8
2006,0,8
2007,0,6
2008,0,8
2009,0,4
2010,0,2
2033,0,6
2034,0,6
2035,0,6
2036,0,6
2037,0,2
2038,0,2
2039,0,4
2040,0,4
2041,0,3
2042,0,3
2043,0,5
2054,0,5
2055,0,9
2060,0,4
2061,0,11
2062,0,4
2063,0,2
2064,0,5
2065,0,7
2066,0,7
2067,0,6
2068,0,6
2069,0,4
2070,0,2
2071,0,2
2083,0,4
2084,0,2
2085,0,6
2086,0,7
2087,0,9
2088,0,8
2089,0,6
2090,0,4
2091,0,4
2092,0,6
2093,0,4
2094,0,2
2117,0,4
2118,0,5
2119,0,6
2120,0,4
2121,0,2
2122,0,8
2123,0,4
2124,0,4
2125,0,3
2126,0,3
2138,0,7
2139,0,9
2144,0,3
2145,0,2
2146,0,1
2147,0,7
2148,0,6
2149,0,5
2150,0,5
2151,0,7
2152,0,4
2153,0,4
2154,0,4
2155,0,2
2167,0,3
2168,0,3
2169,0,3
2170,0,5
2171,0,7
2172,0,6
2173,0,6
2174,0,4
2175,0,2
2176,0,6
2177,0,2
2178,0,2
