bid,lid,aid,sid,x,z,hit1,hit2
332,948,0,4,-19.4598,-9.8,1,1
2,948,0,34,-15.0739,-9.82,1,1
332,948,0,34,-15.0864,-9.8,1,1
332,950,0,4,-17.4598,-9.8,1,1
2,950,0,34,-13.0739,-9.82,1,1
332,950,0,34,-13.0864,-9.8,1,1
332,952,0,4,-15.4598,-9.8,1,1
2,952,0,34,-11.0739,-9.82,1,1
332,952,0,34,-11.0864,-9.8,1,1
332,954,0,4,-13.4598,-9.8,1,1
2,954,0,34,-9.0739,-9.82,1,1
332,954,0,34,-9.08637,-9.8,1,1
332,956,0,4,-11.4598,-9.8,1,1
2,956,0,34,-7.0739,-9.82,1,1
332,956,0,34,-7.08637,-9.8,1,1
332,958,0,4,-9.45975,-9.8,1,1
2,958,0,34,-5.0739,-9.82,1,1
332,958,0,34,-5.08637,-9.8,1,1
332,960,0,4,-7.45975,-9.8,1,1
2,960,0,34,-3.0739,-9.82,1,1
332,960,0,34,-3.08637,-9.8,1,1
332,962,0,4,-5.45975,-9.8,1,1
171,962,0,9,-2.84,-7.88399,1,1
336,962,0,9,-2.84,-7.88399,1,1
172,962,0,33,-1.79878,-8.7,1,1
353,962,0,33,-1.79878,-8.7,1,1
2,962,0,34,-1.0739,-9.82,1,1
355,962,0,34,-1.08637,-9.8,1,1
332,964,0,4,-3.45975,-9.8,1,1
336,964,0,7,-2.84,-9.1646,1,1
354,964,0,7,-2.84,-9.1646,1,1
172,964,0,8,-2.10372,-8.7,1,1
353,964,0,8,-2.10372,-8.7,1,1
168,964,0,9,-0.84,-7.88399,1,1
174,964,0,33,0.201218,-8.7,1,1
353,964,0,33,0.201218,-8.7,1,1
2,964,0,34,0.926103,-9.82,1,1
355,964,0,34,0.913629,-9.8,1,1
355,966,0,1,-1.448,-9.8,1,1
355,966,0,4,-1.45975,-9.8,1,1
174,966,0,8,-0.103724,-8.7,1,1
353,966,0,8,-0.103724,-8.7,1,1
174,966,0,33,2.20122,-8.7,1,1
353,966,0,33,2.20122,-8.7,1,1
2,966,0,34,2.9261,-9.82,1,1
355,966,0,34,2.91363,-9.8,1,1
355,968,0,1,0.551999,-9.8,1,1
355,968,0,4,0.540245,-9.8,1,1
174,968,0,8,1.89628,-8.7,1,1
353,968,0,8,1.89628,-8.7,1,1
175,968,0,10,3.44,-7.77457,1,1
347,968,0,10,3.44,-7.77457,1,1
2,968,0,34,4.9261,-9.82,1,1
351,968,0,34,4.9261,-9.82,1,1
355,970,0,1,2.552,-9.8,1,1
355,970,0,4,2.54024,-9.8,1,1
347,970,0,7,3.44,-8.97915,1,1
352,970,0,7,3.44,-8.97915,1,1
2,970,0,34,6.9261,-9.82,1,1
351,970,0,34,6.9261,-9.82,1,1
2,972,0,34,8.9261,-9.82,1,1
351,972,0,34,8.9261,-9.82,1,1
2,974,0,34,10.9261,-9.82,1,1
351,974,0,34,10.9261,-9.82,1,1
7,976,0,33,12.22,-8.72824,1,1
350,976,0,33,12.22,-8.72825,1,1
7,978,0,8,12.22,-8.50529,1,1
350,978,0,8,12.22,-8.50529,1,1
2,1032,0,35,-14.5067,-9.82,1,1
332,1032,0,35,-14.5164,-9.8,1,1
2,1033,0,34,-13.762,-9.82,1,1
332,1033,0,34,-13.7745,-9.8,1,1
2,1034,0,35,-12.5066,-9.82,1,1
332,1034,0,35,-12.5164,-9.8,1,1
2,1035,0,34,-11.762,-9.82,1,1
332,1035,0,34,-11.7745,-9.8,1,1
2,1036,0,35,-10.5067,-9.82,1,1
332,1036,0,35,-10.5164,-9.8,1,1
2,1037,0,34,-9.76204,-9.82,1,1
332,1037,0,34,-9.77452,-9.8,1,1
2,1038,0,35,-8.50665,-9.82,1,1
332,1038,0,35,-8.51644,-9.8,1,1
2,1039,0,34,-7.76204,-9.82,1,1
332,1039,0,34,-7.77452,-9.8,1,1
2,1040,0,35,-6.50665,-9.82,1,1
332,1040,0,35,-6.51644,-9.8,1,1
2,1041,0,34,-5.76204,-9.82,1,1
332,1041,0,34,-5.77452,-9.8,1,1
2,1042,0,35,-4.50665,-9.82,1,1
332,1042,0,35,-4.51644,-9.8,1,1
2,1043,0,34,-3.76204,-9.82,1,1
332,1043,0,34,-3.77452,-9.8,1,1
336,1044,0,34,-2.84,-9.19501,1,1
354,1044,0,34,-2.84,-9.19501,1,1
2,1044,0,35,-2.50665,-9.82,1,1
355,1044,0,35,-2.51644,-9.8,1,1
171,1045,0,33,-2.84,-8.13801,1,1
172,1045,0,33,-2.4663,-8.7,1,1
336,1045,0,33,-2.84,-8.13801,1,1
353,1045,0,33,-2.4663,-8.7,1,1
2,1045,0,34,-1.76204,-9.82,1,1
355,1045,0,34,-1.77452,-9.8,1,1
171,1046,0,9,-2.84,-6.88399,1,1
336,1046,0,9,-2.84,-6.88399,1,1
172,1046,0,34,-1.14874,-8.7,1,1
353,1046,0,34,-1.14874,-8.7,1,1
2,1046,0,35,-0.506651,-9.82,1,1
355,1046,0,35,-0.516444,-9.8,1,1
171,1047,0,8,-2.84,-8.04138,1,1
336,1047,0,8,-2.84,-8.04138,1,1
168,1047,0,33,-0.84,-8.13801,1,1
174,1047,0,33,-0.466305,-8.7,1,1
353,1047,0,33,-0.466304,-8.7,1,1
2,1047,0,34,0.237958,-9.82,1,1
355,1047,0,34,0.225484,-9.8,1,1
171,1048,0,7,-2.84,-8.1646,1,1
336,1048,0,7,-2.84,-8.1646,1,1
161,1048,0,9,-0.84,-6.88399,1,1
168,1048,0,9,-0.84,-6.88399,1,1
162,1048,0,32,-0.17716,-7.04,1,1
173,1048,0,32,-0.17716,-7.04,1,1
174,1048,0,34,0.851258,-8.7,1,1
353,1048,0,34,0.851258,-8.7,1,1
2,1048,0,35,1.49335,-9.82,1,1
355,1048,0,35,1.48356,-9.8,1,1
172,1049,0,7,-1.89345,-8.7,1,1
353,1049,0,7,-1.89346,-8.7,1,1
168,1049,0,8,-0.84,-8.04138,1,1
174,1049,0,33,1.5337,-8.7,1,1
353,1049,0,33,1.5337,-8.7,1,1
2,1049,0,34,2.23796,-9.82,1,1
355,1049,0,34,2.22548,-9.8,1,1
172,1050,0,5,-1.41444,-8.7,1,1
353,1050,0,5,-1.41444,-8.7,1,1
168,1050,0,7,-0.84,-8.1646,1,1
162,1050,0,9,0.928434,-7.04,1,1
173,1050,0,9,0.928434,-7.04,1,1
162,1050,0,32,1.82284,-7.04,1,1
173,1050,0,32,1.82284,-7.04,1,1
174,1050,0,34,2.85126,-8.7,1,1
353,1050,0,34,2.85126,-8.7,1,1
2,1050,0,35,3.49335,-9.82,1,1
347,1050,0,35,3.44,-9.71105,1,1
351,1050,0,35,3.49335,-9.82,1,1
352,1050,0,35,3.44,-9.71105,1,1
174,1051,0,7,0.106546,-8.7,1,1
353,1051,0,7,0.106545,-8.7,1,1
175,1051,0,33,3.44,-8.55909,1,1
347,1051,0,33,3.44,-8.5591,1,1
2,1051,0,34,4.23796,-9.82,1,1
351,1051,0,34,4.23796,-9.82,1,1
174,1052,0,5,0.585564,-8.7,1,1
353,1052,0,5,0.585564,-8.7,1,1
167,1052,0,9,2.92843,-7.04,1,1
173,1052,0,9,2.92843,-7.04,1,1
163,1052,0,10,3.44,-6.77456,1,1
347,1052,0,10,3.44,-6.77456,1,1
2,1052,0,35,5.49335,-9.82,1,1
351,1052,0,35,5.49335,-9.82,1,1
174,1053,0,7,2.10655,-8.7,1,1
353,1053,0,7,2.10655,-8.7,1,1
175,1053,0,9,3.44,-7.86908,1,1
347,1053,0,9,3.44,-7.86907,1,1
2,1053,0,34,6.23796,-9.82,1,1
351,1053,0,34,6.23796,-9.82,1,1
174,1054,0,5,2.58556,-8.7,1,1
353,1054,0,5,2.58556,-8.7,1,1
175,1054,0,7,3.44,-7.97915,1,1
347,1054,0,7,3.44,-7.97915,1,1
2,1054,0,35,7.49335,-9.82,1,1
351,1054,0,35,7.49335,-9.82,1,1
2,1055,0,34,8.23796,-9.82,1,1
351,1055,0,34,8.23796,-9.82,1,1
2,1056,0,35,9.49335,-9.82,1,1
351,1056,0,35,9.49335,-9.82,1,1
2,1057,0,34,10.238,-9.82,1,1
351,1057,0,34,10.238,-9.82,1,1
2,1058,0,35,11.4934,-9.82,1,1
351,1058,0,35,11.4933,-9.82,1,1
7,1059,0,34,12.22,-9.79121,1,1
350,1059,0,34,12.22,-9.79121,1,1
7,1060,0,33,12.22,-7.72824,1,1
350,1060,0,33,12.22,-7.72825,1,1
7,1061,0,9,12.22,-7.34356,1,1
350,1061,0,9,12.22,-7.34356,1,1
7,1062,0,8,12.22,-7.50529,1,1
350,1062,0,8,12.22,-7.50529,1,1
7,1063,0,7,12.22,-8.62486,1,1
350,1063,0,7,12.22,-8.62486,1,1
2,1115,0,35,-15.2618,-9.82,1,1
332,1115,0,35,-15.2716,-9.8,1,1
2,1116,0,36,-13.9964,-9.82,1,1
332,1116,0,36,-14.0075,-9.8,1,1
2,1117,0,35,-13.2618,-9.82,1,1
332,1117,0,35,-13.2716,-9.8,1,1
2,1118,0,36,-11.9964,-9.82,1,1
332,1118,0,36,-12.0075,-9.8,1,1
2,1119,0,35,-11.2618,-9.82,1,1
332,1119,0,35,-11.2716,-9.8,1,1
2,1120,0,36,-9.99638,-9.82,1,1
332,1120,0,36,-10.0075,-9.8,1,1
2,1121,0,35,-9.26182,-9.82,1,1
332,1121,0,35,-9.27162,-9.8,1,1
2,1122,0,36,-7.99638,-9.82,1,1
332,1122,0,36,-8.00754,-9.8,1,1
2,1123,0,35,-7.26182,-9.82,1,1
332,1123,0,35,-7.27162,-9.8,1,1
2,1124,0,36,-5.99638,-9.82,1,1
332,1124,0,36,-6.00754,-9.8,1,1
2,1125,0,35,-5.26182,-9.82,1,1
332,1125,0,35,-5.27162,-9.8,1,1
2,1126,0,36,-3.99638,-9.82,1,1
332,1126,0,36,-4.00754,-9.8,1,1
2,1127,0,35,-3.26182,-9.82,1,1
332,1127,0,35,-3.27162,-9.8,1,1
171,1128,0,34,-2.84,-8.19501,1,1
336,1128,0,34,-2.84,-8.19501,1,1
172,1128,0,35,-2.56541,-8.7,1,1
353,1128,0,35,-2.56541,-8.7,1,1
2,1128,0,36,-1.99638,-9.82,1,1
355,1128,0,36,-2.00754,-9.8,1,1
171,1129,0,33,-2.84,-7.13801,1,1
336,1129,0,33,-2.84,-7.13801,1,1
172,1129,0,34,-1.83689,-8.7,1,1
353,1129,0,34,-1.83689,-8.7,1,1
2,1129,0,35,-1.26182,-9.82,1,1
355,1129,0,35,-1.27162,-9.8,1,1
171,1130,0,9,-2.84,-5.88399,1,1
336,1130,0,9,-2.84,-5.88399,1,1
168,1130,0,34,-0.84,-8.19501,1,1
174,1130,0,35,-0.56541,-8.7,1,1
353,1130,0,35,-0.565409,-8.7,1,1
2,1130,0,36,0.0036243,-9.82,1,1
355,1130,0,36,-0.00754347,-9.8,1,1
171,1131,0,8,-2.84,-7.04138,1,1
336,1131,0,8,-2.84,-7.04138,1,1
168,1131,0,33,-0.84,-7.13801,1,1
174,1131,0,34,0.163113,-8.7,1,1
353,1131,0,34,0.163113,-8.7,1,1
2,1131,0,35,0.738176,-9.82,1,1
355,1131,0,35,0.728383,-9.8,1,1
171,1132,0,7,-2.84,-7.1646,1,1
336,1132,0,7,-2.84,-7.1646,1,1
161,1132,0,9,-0.84,-5.88399,1,1
168,1132,0,9,-0.84,-5.88399,1,1
162,1132,0,33,0.427303,-7.04,1,1
173,1132,0,33,0.427303,-7.04,1,1
174,1132,0,35,1.43459,-8.7,1,1
353,1132,0,35,1.43459,-8.7,1,1
2,1132,0,36,2.00362,-9.82,1,1
355,1132,0,36,1.99246,-9.8,1,1
162,1133,0,8,-0.837707,-7.04,1,1
168,1133,0,8,-0.84,-7.04138,1,1
173,1133,0,8,-0.837707,-7.04,1,1
162,1133,0,33,1.09483,-7.04,1,1
173,1133,0,33,1.09482,-7.04,1,1
174,1133,0,34,2.16311,-8.7,1,1
353,1133,0,34,2.16311,-8.7,1,1
2,1133,0,35,2.73818,-9.82,1,1
355,1133,0,35,2.72838,-9.8,1,1
162,1134,0,7,-0.651871,-7.04,1,1
168,1134,0,7,-0.84,-7.1646,1,1
173,1134,0,7,-0.651871,-7.04,1,1
158,1134,0,32,1.94,-6.28071,1,1
166,1134,0,32,1.94,-6.28071,1,1
167,1134,0,33,2.4273,-7.04,1,1
173,1134,0,33,2.4273,-7.04,1,1
174,1134,0,35,3.43459,-8.7,1,1
347,1134,0,35,3.44,-8.71105,1,1
352,1134,0,35,3.44,-8.71105,1,1
353,1134,0,35,3.43459,-8.7,1,1
2,1134,0,36,4.00362,-9.82,1,1
351,1134,0,36,4.00362,-9.82,1,1
162,1135,0,8,1.16229,-7.04,1,1
173,1135,0,8,1.16229,-7.04,1,1
158,1135,0,9,1.94,-6.53221,1,1
166,1135,0,9,1.94,-6.53221,1,1
167,1135,0,33,3.09483,-7.04,1,1
173,1135,0,33,3.09483,-7.04,1,1
175,1135,0,33,3.44,-7.55909,1,1
347,1135,0,33,3.44,-7.55909,1,1
2,1135,0,35,4.73818,-9.82,1,1
351,1135,0,35,4.73818,-9.82,1,1
162,1136,0,7,1.34813,-7.04,1,1
173,1136,0,7,1.34813,-7.04,1,1
158,1136,0,8,1.94,-6.6737,1,1
166,1136,0,8,1.94,-6.6737,1,1
163,1136,0,10,3.44,-5.77456,1,1
347,1136,0,10,3.44,-5.77456,1,1
2,1136,0,36,6.00362,-9.82,1,1
351,1136,0,36,6.00362,-9.82,1,1
167,1137,0,8,3.16229,-7.04,1,1
173,1137,0,8,3.16229,-7.04,1,1
163,1137,0,9,3.44,-6.86907,1,1
347,1137,0,9,3.44,-6.86907,1,1
2,1137,0,35,6.73818,-9.82,1,1
351,1137,0,35,6.73818,-9.82,1,1
163,1138,0,7,3.44,-6.97915,1,1
167,1138,0,7,3.34813,-7.04,1,1
173,1138,0,7,3.34813,-7.04,1,1
347,1138,0,7,3.44,-6.97915,1,1
2,1138,0,36,8.00362,-9.82,1,1
351,1138,0,36,8.00362,-9.82,1,1
2,1139,0,35,8.73818,-9.82,1,1
351,1139,0,35,8.73818,-9.82,1,1
2,1140,0,36,10.0036,-9.82,1,1
351,1140,0,36,10.0036,-9.82,1,1
2,1141,0,35,10.7382,-9.82,1,1
351,1141,0,35,10.7382,-9.82,1,1
2,1142,0,36,12.0036,-9.82,1,1
351,1142,0,36,12.0036,-9.82,1,1
7,1143,0,34,12.22,-8.79121,1,1
350,1143,0,34,12.22,-8.79121,1,1
7,1144,0,33,12.22,-6.72824,1,1
350,1144,0,33,12.22,-6.72825,1,1
7,1145,0,9,12.22,-6.34356,1,1
350,1145,0,9,12.22,-6.34356,1,1
7,1146,0,8,12.22,-6.50529,1,1
350,1146,0,8,12.22,-6.50529,1,1
7,1147,0,7,12.22,-7.62486,1,1
350,1147,0,7,12.22,-7.62486,1,1
2,1199,0,36,-14.7172,-9.82,1,1
332,1199,0,36,-14.7284,-9.8,1,1
34,1200,0,10,-16.6133,-4.79,1,1
333,1200,0,10,-16.6479,-4.8,1,1
34,1200,0,32,-16.2988,-4.79,1,1
333,1200,0,32,-16.294,-4.8,1,1
2,1200,0,37,-13.3793,-9.82,1,1
332,1200,0,37,-13.3959,-9.8,1,1
2,1201,0,36,-12.7172,-9.82,1,1
332,1201,0,36,-12.7284,-9.8,1,1
34,1202,0,10,-14.6133,-4.79,1,1
333,1202,0,10,-14.6479,-4.8,1,1
34,1202,0,32,-14.2988,-4.79,1,1
333,1202,0,32,-14.294,-4.8,1,1
2,1202,0,37,-11.3793,-9.82,1,1
332,1202,0,37,-11.3959,-9.8,1,1
2,1203,0,36,-10.7172,-9.82,1,1
332,1203,0,36,-10.7284,-9.8,1,1
34,1204,0,10,-12.6133,-4.79,1,1
333,1204,0,10,-12.6479,-4.8,1,1
34,1204,0,32,-12.2988,-4.79,1,1
333,1204,0,32,-12.294,-4.8,1,1
2,1204,0,37,-9.37931,-9.82,1,1
332,1204,0,37,-9.39589,-9.8,1,1
2,1205,0,36,-8.71721,-9.82,1,1
332,1205,0,36,-8.72837,-9.8,1,1
34,1206,0,10,-10.6133,-4.79,1,1
334,1206,0,10,-10.6479,-4.8,1,1
34,1206,0,32,-10.2988,-4.79,1,1
334,1206,0,32,-10.294,-4.8,1,1
2,1206,0,37,-7.37931,-9.82,1,1
332,1206,0,37,-7.39589,-9.8,1,1
2,1207,0,36,-6.7172,-9.82,1,1
332,1207,0,36,-6.72837,-9.8,1,1
34,1208,0,10,-8.61334,-4.79,1,1
334,1208,0,10,-8.6479,-4.8,1,1
28,1208,0,23,-8.36,-4.64265,1,1
29,1208,0,23,-8.36,-4.64265,1,1
28,1208,0,25,-8.36,-4.66823,1,1
29,1208,0,25,-8.36,-4.66823,1,1
28,1208,0,30,-8.36,-4.68529,1,1
29,1208,0,30,-8.36,-4.68529,1,1
24,1208,0,32,-8.29884,-4.79,1,1
334,1208,0,32,-8.29397,-4.8,1,1
2,1208,0,37,-5.37931,-9.82,1,1
332,1208,0,37,-5.39589,-9.8,1,1
2,1209,0,36,-4.7172,-9.82,1,1
332,1209,0,36,-4.72837,-9.8,1,1
24,1210,0,10,-6.61334,-4.79,1,1
334,1210,0,10,-6.6479,-4.8,1,1
24,1210,0,32,-6.29884,-4.79,1,1
334,1210,0,32,-6.29397,-4.8,1,1
2,1210,0,37,-3.37931,-9.82,1,1
332,1210,0,37,-3.3959,-9.8,1,1
2,1211,0,36,-2.7172,-9.82,1,1
336,1211,0,36,-2.84,-9.60007,1,1
354,1211,0,36,-2.84,-9.60007,1,1
355,1211,0,36,-2.72837,-9.8,1,1
171,1212,0,34,-2.84,-7.19501,1,1
336,1212,0,34,-2.84,-7.19501,1,1
172,1212,0,36,-2.06338,-8.7,1,1
353,1212,0,36,-2.06338,-8.7,1,1
